ms,ms_name,country,state_or_province,loc_wkt,group_id
https://minmod.isi.edu/resource/mineral_site27c28807969d5a80a087daba6f3d58d39352cdabd0eeab578003bd338538dd56,Dernan Property,United States,Nevada,POINT (-117.25036 41.18071),4.0
https://minmod.isi.edu/resource/mineral_sitee56953494a4b06ad3276bcf9024f0aba4ab653354fe380e9973841e5d1b0dd12,Ernest Henry,Australia,Queensland,POINT (140.68216 -20.39677),2816.0
https://minmod.isi.edu/resource/mineral_sitecec6039d6d04ff6184eab5b83688447bdad4c0070b739ed4be4274cbd96e826c,Von Frank - North,United States,Alaska,POINT (-154.35597 63.5445),4399.0
https://minmod.isi.edu/resource/mineral_siteb8e837c89e910f908ca72c23adc9a48678a0f52250d5aa9b0a50db50d5c3a598,Buick Mine,United States,Missouri,POINT (-91.12263 37.60586),2829.0
https://minmod.isi.edu/resource/mineral_site01697098bb1d993054e8d4c93057377bca835e12436b0b0378e19d5adfa0bdd7,Meadow Creek Placer,United States,Idaho,POINT (-115.13127 46.9032),4403.0
https://minmod.isi.edu/resource/mineral_site787588737f8ccf3d34cff373ed4262fd2abdad71882cdf298e33ad27153158bb,Valley View and Foothill Claim,United States,Nevada,POINT (-117.22149 39.02798),2825.0
https://minmod.isi.edu/resource/mineral_site17c3030c7ac07417bb2b242c0cdc386db3e85dd3e7ae2c216eced70094fe16b9,Nepoui Mining District,France,Territory of New Caledonia and Dependencies,POINT (164.71523 -21.3136),2824.0
https://minmod.isi.edu/resource/mineral_site5eb44b813e3f5716f2046f39acc4e602fa82759263ca78f8d29661b0be432f6c,Apache Manganese Mine,United States,Arizona,POINT (-110.69569 33.79368),2822.0
https://minmod.isi.edu/resource/mineral_sitef742be8162d2d3530276cecb4040539a51af60133cb1926b3d990f6b8d7c64ac,Smith Lake,United States,Alaska,POINT (-153.74084 62.32748),4404.0
https://minmod.isi.edu/resource/mineral_sitea7f2c62bcd3cfc8bcd1aaebac3c72604dca04dbbdb360fd0d5957a47b4cd0455,Belilel Claims,United States,Idaho,POINT (-114.3097 45.13066),4405.0
https://minmod.isi.edu/resource/mineral_site9f8b456f0a9da4aba3b010ae527e24c7d79ca3e76eb538fdf89adbde59b31da9,Apex 1-12,United States,Alaska,POINT (-148.34612 65.42887),2817.0
https://minmod.isi.edu/resource/mineral_site50b2f53d153747bcc5b69ddee6a8a5bd23ac436df78cb289b2375d7829b513da,Cornwall Mine and Pellet Plant,United States,Pennsylvania,POINT (-76.4033 40.2694),2815.0
https://minmod.isi.edu/resource/mineral_site1be1e3a17702e6dfc7b1c80a386d38510f331c557a1008c9c0afd0f0288e7f5f,Tin-Midway,United States,Alaska,POINT (-153.65284 62.41948),2832.0
https://minmod.isi.edu/resource/mineral_site3c39ea02ab2d00a03a82cf14870ab4c3ac4b407c053a851d1147743831dd21dd,Honolulu Hawaii Giant,United States,Nevada,POINT (-117.52956 40.82549),4408.0
https://minmod.isi.edu/resource/mineral_site02c098d5c3406a4ad82b8fcf0262b92c2ca468e90585fbad854f86b4d794bdae,Barrett,United States,Alaska,POINT (-150.74475 65.03041),4411.0
https://minmod.isi.edu/resource/mineral_site4f127e3b369f45be1a6915bc25e4c7e8916fc2481c5cdfbb7439a0042385d30c,"Copperfield Mining Cobalt Deposit, Canada",Canada,Quebec,POINT (-71.06607 48.43329),2812.0
