ms_1,ms_2,time_ns,is_same
320,site__mrdata-usgs-gov-mrds__10135434__sri,1740765537831077864,1
320,site__mrdata-usgs-gov-mrds__10135434__umn,1740765537831077864,1
320,site__doi-org-10-5066-p9k1hbnt__320__umn,1740765537831077864,1
site__mrdata-usgs-gov-mrds__10136486__umn,site__mrdata-usgs-gov-mrds__10136486__sri,1741011961040229703,1
site__mrdata-usgs-gov-mrds__10136486__umn,site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__1639__umn,1741011961040229703,1
site__mrdata-usgs-gov-mrds__10208859__umn,site__mrdata-usgs-gov-mrds__10208859__sri,1741012392346006312,1
site__mrdata-usgs-gov-mrds__10208859__umn,site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__731__umn,1741012392346006312,1
719,site__mrdata-usgs-gov-mrds__10160370__sri,1741028609228594369,1
719,site__mrdata-usgs-gov-mrds__10160370__umn,1741028609228594369,1
719,site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__719__umn,1741028609228594369,1
site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__719__jhammars,site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__719__umn,1741028783397516820,1
site__mrdata-usgs-gov-mrds__10160370__sri,site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__719__umn,1741028783397516820,0
site__mrdata-usgs-gov-mrds__10160370__sri,site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__719__jhammars,1741028783397516820,0
site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__719__umn,site__mrdata-usgs-gov-mrds__10160370__sri,1741028783397516820,0
site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__719__umn,site__mrdata-usgs-gov-mrds__10160370__umn,1741028783397516820,0
site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__719__jhammars,site__mrdata-usgs-gov-mrds__10160370__sri,1741028783397516820,0
site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__719__jhammars,site__mrdata-usgs-gov-mrds__10160370__umn,1741028783397516820,0
site__mrdata-usgs-gov-mrds__10160370__umn,site__mrdata-usgs-gov-mrds__10160370__sri,1741028837539687366,1
site__mrdata-usgs-gov-mrds__10160370__umn,site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__719__jhammars,1741028837539687366,1
site__mrdata-usgs-gov-mrds__10160370__umn,site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__719__umn,1741028837539687366,1
site__mrdata-usgs-gov-mrds__10160740__umn,site__mrdata-usgs-gov-mrds__10160740__sri,1741029424261902668,1
site__mrdata-usgs-gov-mrds__10160740__umn,site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__1608__umn,1741029424261902668,1
1608,site__mrdata-usgs-gov-mrds__10160740__sri,1741029629189515588,1
1608,site__mrdata-usgs-gov-mrds__10160740__umn,1741029629189515588,1
1608,site__www-gsa-state-al-us-gsa-geologic-nonfuelminerals-nfcritresource__1608__umn,1741029629189515588,1
