ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10023251,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10023251
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064957,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064957
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10132832,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10132832
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10017379,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10017379
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2560,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2560
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10157451,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10157451
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013705,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013705
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013705,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10107745
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10107745,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013705
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10107745,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10107745
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10005294,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10005294
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__978,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__978
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064883,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064883
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10128994,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10128994
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0230a54c6daf27b3418e2086a776e846c705735b759434a8d03abc33b4f1f36428,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0230a54c6daf27b3418e2086a776e846c705735b759434a8d03abc33b4f1f36428
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10145754,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10145754
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10208027,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10208027
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10004294,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10004294
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009444,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009444
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010799,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010799
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010799,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10226728
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10226728,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010799
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10226728,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10226728
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2554,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2554
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__760,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__760
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10218682,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10218682
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009119,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009119
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009119,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013782
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013782,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009119
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013782,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013782
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10295899,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10295899
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh390,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh390
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10014110,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10014110
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10014110,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10150794
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10150794,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10014110
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10150794,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10150794
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064972,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064972
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10104257,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10104257
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10104257,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10202018
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10202018,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10104257
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10202018,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10202018
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10107756,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10107756
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10272520,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10272520
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10242337,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10242337
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182414,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182414
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2581,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2581
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00001,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00001
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10129455,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10129455
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10129455,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10011957
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10011957,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10129455
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10011957,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10011957
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10062092,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10062092
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02b01293f6e6332f8b14d7c1034004307fcf9f3281411948ef75fb55c6cc077cbb,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02b01293f6e6332f8b14d7c1034004307fcf9f3281411948ef75fb55c6cc077cbb
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10306858,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10306858
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10299471,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10299471
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10299471,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009788
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009788,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10299471
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009788,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009788
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__de030,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__de030
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10099663,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10099663
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10183614,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10183614
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009165,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009165
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10202168,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10202168
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096325,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096325
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10105338,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10105338
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10162177,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10162177
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__193,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__193
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10231987,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10231987
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000268,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000268
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013735,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013735
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10208075,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10208075
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010871,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010871
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010871,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010870
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010870,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010871
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010870,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010870
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009143,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009143
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064973,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064973
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10194399,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10194399
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064958,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064958
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064886,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064886
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055767,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055767
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10108086,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10108086
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013719,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013719
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__78,https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__78
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__78,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000715
https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__78,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085250
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000715,https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__78
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000715,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000715
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000715,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085250
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085250,https://minmod.isi.edu/resource/site__doi-org-10-4095-295581__78
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085250,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000715
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085250,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085250
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10219186,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10219186
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00122,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00122
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10107757,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10107757
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158760,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158760
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10090627,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10090627
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10192946,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10192946
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206658,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206658
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009162,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009162
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10100525,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10100525
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10169674,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10169674
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__770,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__770
https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__101,https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__101
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10090626,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10090626
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10071153,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10071153
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10017765,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10017765
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt020,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt020
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10166753,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10166753
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10166753,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10091461
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10166753,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009121
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10166753,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10016032
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10091461,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10166753
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10091461,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10091461
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10091461,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009121
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10091461,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10016032
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009121,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10166753
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009121,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10091461
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009121,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009121
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009121,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10016032
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10016032,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10166753
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10016032,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10091461
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10016032,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009121
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10016032,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10016032
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10121610,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10121610
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10023262,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10023262
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10023262,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__135
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__135,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10023262
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__135,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__135
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000261,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000261
https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__473,https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__473
https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__473,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__sd00019
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__sd00019,https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__473
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__sd00019,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__sd00019
https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__400,https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__400
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009182,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009182
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067600,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067600
https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__336,https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__336
https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__336,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00046
https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__336,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308430
https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__336,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10003257
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00046,https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__336
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00046,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00046
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00046,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308430
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00046,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10003257
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308430,https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__336
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308430,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00046
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308430,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308430
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308430,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10003257
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10003257,https://minmod.isi.edu/resource/site__doi-org-10-5066-p9k1hbnt__336
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10003257,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00046
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10003257,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308430
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10003257,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10003257
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10221174,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10221174
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10226226,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10226226
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009114,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009114
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2558,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2558
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10181496,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10181496
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10022685,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10022685
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10107747,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10107747
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00022,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00022
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__sd00048,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__sd00048
