ms_uri_1,ms_uri_2
site__doi-org-10-5066-p96mmrfd__tc040,site__doi-org-10-5066-p96mmrfd__tc040
site__mrdata-usgs-gov-mrds__10006054,site__mrdata-usgs-gov-mrds__10006054
site__mrdata-usgs-gov-mrds__10231448,site__mrdata-usgs-gov-mrds__10231448
site__mrdata-usgs-gov-mrds__10011977,site__mrdata-usgs-gov-mrds__10011977
site__doi-org-10-5066-p96mmrfd__nm006,site__doi-org-10-5066-p96mmrfd__nm006
site__doi-org-10-5066-p96mmrfd__nm006,site__mrdata-usgs-gov-mrds__10307905
site__mrdata-usgs-gov-mrds__10307905,site__doi-org-10-5066-p96mmrfd__nm006
site__mrdata-usgs-gov-mrds__10307905,site__mrdata-usgs-gov-mrds__10307905
site__mrdata-usgs-gov-mrds__10050456,site__mrdata-usgs-gov-mrds__10050456
site__mrdata-usgs-gov-mrds__10182706,site__mrdata-usgs-gov-mrds__10182706
site__doi-org-10-5066-p96mmrfd__sm006,site__doi-org-10-5066-p96mmrfd__sm006
site__mrdata-usgs-gov-major-deposits__2939,site__mrdata-usgs-gov-major-deposits__2939
site__mrdata-usgs-gov-major-deposits__2939,site__mrdata-usgs-gov-mrds__10255858
site__mrdata-usgs-gov-mrds__10255858,site__mrdata-usgs-gov-major-deposits__2939
site__mrdata-usgs-gov-mrds__10255858,site__mrdata-usgs-gov-mrds__10255858
site__mrdata-usgs-gov-mrds__10006161,site__mrdata-usgs-gov-mrds__10006161
site__mrdata-usgs-gov-mrds__10060736,site__mrdata-usgs-gov-mrds__10060736
site__mrdata-usgs-gov-mrds__10005935,site__mrdata-usgs-gov-mrds__10005935
site__mrdata-usgs-gov-mrds__10174631,site__mrdata-usgs-gov-mrds__10174631
site__mrdata-usgs-gov-mrds__10174631,site__mrdata-usgs-gov-mrds__10047451
site__mrdata-usgs-gov-mrds__10047451,site__mrdata-usgs-gov-mrds__10174631
site__mrdata-usgs-gov-mrds__10047451,site__mrdata-usgs-gov-mrds__10047451
site__mrdata-usgs-gov-mrds__10006331,site__mrdata-usgs-gov-mrds__10006331
site__mrdata-usgs-gov-mrds__10006217,site__mrdata-usgs-gov-mrds__10006217
site__mrdata-usgs-gov-mrds__10006183,site__mrdata-usgs-gov-mrds__10006183
site__mrdata-usgs-gov-mrds__10004276,site__mrdata-usgs-gov-mrds__10004276
site__mrdata-usgs-gov-mrds__10064869,site__mrdata-usgs-gov-mrds__10064869
site__mrdata-usgs-gov-mrds__10003245,site__mrdata-usgs-gov-mrds__10003245
site__doi-org-10-5066-p96mmrfd__rb023,site__doi-org-10-5066-p96mmrfd__rb023
site__mrdata-usgs-gov-mrds__10006322,site__mrdata-usgs-gov-mrds__10006322
site__doi-org-10-5066-p96mmrfd__bt021,site__doi-org-10-5066-p96mmrfd__bt021
site__doi-org-10-5066-p96mmrfd__bt021,site__doi-org-10-5066-p9k1hbnt__436
site__doi-org-10-5066-p96mmrfd__bt021,site__mrdata-usgs-gov-deposit__ak00130
site__doi-org-10-5066-p9k1hbnt__436,site__doi-org-10-5066-p96mmrfd__bt021
site__doi-org-10-5066-p9k1hbnt__436,site__doi-org-10-5066-p9k1hbnt__436
site__doi-org-10-5066-p9k1hbnt__436,site__mrdata-usgs-gov-deposit__ak00130
site__mrdata-usgs-gov-deposit__ak00130,site__doi-org-10-5066-p96mmrfd__bt021
site__mrdata-usgs-gov-deposit__ak00130,site__doi-org-10-5066-p9k1hbnt__436
site__mrdata-usgs-gov-deposit__ak00130,site__mrdata-usgs-gov-deposit__ak00130
site__mrdata-usgs-gov-mrds__10021540,site__mrdata-usgs-gov-mrds__10021540
site__mrdata-usgs-gov-mrds__10021530,site__mrdata-usgs-gov-mrds__10021530
site__mrdata-usgs-gov-mrds__10303870,site__mrdata-usgs-gov-mrds__10303870
site__doi-org-10-5066-p96mmrfd__id006,site__doi-org-10-5066-p96mmrfd__id006
site__doi-org-10-5066-p96mmrfd__bn057,site__doi-org-10-5066-p96mmrfd__bn057
site__doi-org-10-5066-p96mmrfd__bn057,site__mrdata-usgs-gov-mrds__10209225
site__doi-org-10-5066-p96mmrfd__bn057,site__mrdata-usgs-gov-mrds__10001894
site__doi-org-10-5066-p96mmrfd__bn057,site__mrdata-usgs-gov-mrds__10233179
site__mrdata-usgs-gov-mrds__10209225,site__doi-org-10-5066-p96mmrfd__bn057
site__mrdata-usgs-gov-mrds__10209225,site__mrdata-usgs-gov-mrds__10209225
site__mrdata-usgs-gov-mrds__10209225,site__mrdata-usgs-gov-mrds__10001894
site__mrdata-usgs-gov-mrds__10209225,site__mrdata-usgs-gov-mrds__10233179
site__mrdata-usgs-gov-mrds__10001894,site__doi-org-10-5066-p96mmrfd__bn057
site__mrdata-usgs-gov-mrds__10001894,site__mrdata-usgs-gov-mrds__10209225
site__mrdata-usgs-gov-mrds__10001894,site__mrdata-usgs-gov-mrds__10001894
site__mrdata-usgs-gov-mrds__10001894,site__mrdata-usgs-gov-mrds__10233179
site__mrdata-usgs-gov-mrds__10233179,site__doi-org-10-5066-p96mmrfd__bn057
site__mrdata-usgs-gov-mrds__10233179,site__mrdata-usgs-gov-mrds__10209225
site__mrdata-usgs-gov-mrds__10233179,site__mrdata-usgs-gov-mrds__10001894
site__mrdata-usgs-gov-mrds__10233179,site__mrdata-usgs-gov-mrds__10233179
site__mrdata-usgs-gov-major-deposits__2239,site__mrdata-usgs-gov-major-deposits__2239
site__mrdata-usgs-gov-major-deposits__2239,site__mrdata-usgs-gov-mrds__10232228
site__mrdata-usgs-gov-mrds__10232228,site__mrdata-usgs-gov-major-deposits__2239
site__mrdata-usgs-gov-mrds__10232228,site__mrdata-usgs-gov-mrds__10232228
site__doi-org-10-5382-econgeo-2018-4590__cleveland-luina-110,site__doi-org-10-5382-econgeo-2018-4590__cleveland-luina-110
site__mrdata-usgs-gov-mrds__10182228,site__mrdata-usgs-gov-mrds__10182228
site__mrdata-usgs-gov-mrds__10055763,site__mrdata-usgs-gov-mrds__10055763
site__doi-org-10-4095-295581__80,site__doi-org-10-4095-295581__80
site__mrdata-usgs-gov-mrds__10098405,site__mrdata-usgs-gov-mrds__10098405
site__mrdata-usgs-gov-mrds__10090106,site__mrdata-usgs-gov-mrds__10090106
site__mrdata-usgs-gov-mrds__10078651,site__mrdata-usgs-gov-mrds__10078651
site__mrdata-usgs-gov-mrds__10308429,site__mrdata-usgs-gov-mrds__10308429
site__mrdata-usgs-gov-mrds__10006174,site__mrdata-usgs-gov-mrds__10006174
site__mrdata-usgs-gov-mrds__10250564,site__mrdata-usgs-gov-mrds__10250564
site__mrdata-usgs-gov-mrds__10133918,site__mrdata-usgs-gov-mrds__10133918
site__mrdata-usgs-gov-mrds__10183434,site__mrdata-usgs-gov-mrds__10183434
site__mrdata-usgs-gov-mrds__10306861,site__mrdata-usgs-gov-mrds__10306861
site__doi-org-10-4095-295581__307,site__doi-org-10-4095-295581__307
site__mrdata-usgs-gov-mrds__10111389,site__mrdata-usgs-gov-mrds__10111389
site__mrdata-usgs-gov-mrds__10112956,site__mrdata-usgs-gov-mrds__10112956
site__mrdata-usgs-gov-mrds__10039111,site__mrdata-usgs-gov-mrds__10039111
site__doi-org-10-5066-p96mmrfd__md059,site__doi-org-10-5066-p96mmrfd__md059
site__doi-org-10-5066-p96mmrfd__md059,site__mrdata-usgs-gov-mrds__10307802
site__mrdata-usgs-gov-mrds__10307802,site__doi-org-10-5066-p96mmrfd__md059
site__mrdata-usgs-gov-mrds__10307802,site__mrdata-usgs-gov-mrds__10307802
site__mrdata-usgs-gov-mrds__10090672,site__mrdata-usgs-gov-mrds__10090672
site__mrdata-usgs-gov-mrds__10184583,site__mrdata-usgs-gov-mrds__10184583
site__mrdata-usgs-gov-mrds__10133089,site__mrdata-usgs-gov-mrds__10133089
site__mrdata-usgs-gov-mrds__10226325,site__mrdata-usgs-gov-mrds__10226325
site__mrdata-usgs-gov-mrds__10021631,site__mrdata-usgs-gov-mrds__10021631
site__mrdata-usgs-gov-mrds__10251614,site__mrdata-usgs-gov-mrds__10251614
site__doi-org-10-5066-p9htergk__29486,site__doi-org-10-5066-p9htergk__29486
site__doi-org-10-5066-p9htergk__29486,site__doi-org-10-5066-p9k1hbnt__172
site__doi-org-10-5066-p9htergk__29486,site__mrdata-usgs-gov-deposit__ca00069
site__doi-org-10-5066-p9htergk__29486,site__mrdata-usgs-gov-mrds__10212184
site__doi-org-10-5066-p9k1hbnt__172,site__doi-org-10-5066-p9htergk__29486
site__doi-org-10-5066-p9k1hbnt__172,site__doi-org-10-5066-p9k1hbnt__172
site__doi-org-10-5066-p9k1hbnt__172,site__mrdata-usgs-gov-deposit__ca00069
site__doi-org-10-5066-p9k1hbnt__172,site__mrdata-usgs-gov-mrds__10212184
site__mrdata-usgs-gov-deposit__ca00069,site__doi-org-10-5066-p9htergk__29486
site__mrdata-usgs-gov-deposit__ca00069,site__doi-org-10-5066-p9k1hbnt__172
site__mrdata-usgs-gov-deposit__ca00069,site__mrdata-usgs-gov-deposit__ca00069
site__mrdata-usgs-gov-deposit__ca00069,site__mrdata-usgs-gov-mrds__10212184
site__mrdata-usgs-gov-mrds__10212184,site__doi-org-10-5066-p9htergk__29486
site__mrdata-usgs-gov-mrds__10212184,site__doi-org-10-5066-p9k1hbnt__172
site__mrdata-usgs-gov-mrds__10212184,site__mrdata-usgs-gov-deposit__ca00069
site__mrdata-usgs-gov-mrds__10212184,site__mrdata-usgs-gov-mrds__10212184
site__mrdata-usgs-gov-mrds__10006558,site__mrdata-usgs-gov-mrds__10006558
site__mrdata-usgs-gov-mrds__10013786,site__mrdata-usgs-gov-mrds__10013786
site__doi-org-10-5066-p9htergk__37148,site__doi-org-10-5066-p9htergk__37148
site__doi-org-10-5066-p9htergk__37148,site__doi-org-10-5066-p9htergk__9312
site__doi-org-10-5066-p9htergk__37148,site__mrdata-usgs-gov-mrds__10261621
site__doi-org-10-5066-p9htergk__37148,site__mrdata-usgs-gov-mrds__10064465
site__doi-org-10-5066-p9htergk__9312,site__doi-org-10-5066-p9htergk__37148
site__doi-org-10-5066-p9htergk__9312,site__doi-org-10-5066-p9htergk__9312
site__doi-org-10-5066-p9htergk__9312,site__mrdata-usgs-gov-mrds__10261621
site__doi-org-10-5066-p9htergk__9312,site__mrdata-usgs-gov-mrds__10064465
site__mrdata-usgs-gov-mrds__10261621,site__doi-org-10-5066-p9htergk__37148
site__mrdata-usgs-gov-mrds__10261621,site__doi-org-10-5066-p9htergk__9312
site__mrdata-usgs-gov-mrds__10261621,site__mrdata-usgs-gov-mrds__10261621
site__mrdata-usgs-gov-mrds__10261621,site__mrdata-usgs-gov-mrds__10064465
site__mrdata-usgs-gov-mrds__10064465,site__doi-org-10-5066-p9htergk__37148
site__mrdata-usgs-gov-mrds__10064465,site__doi-org-10-5066-p9htergk__9312
site__mrdata-usgs-gov-mrds__10064465,site__mrdata-usgs-gov-mrds__10261621
site__mrdata-usgs-gov-mrds__10064465,site__mrdata-usgs-gov-mrds__10064465
site__mrdata-usgs-gov-mrds__10233910,site__mrdata-usgs-gov-mrds__10233910
site__doi-org-10-5066-p96mmrfd__ea034,site__doi-org-10-5066-p96mmrfd__ea034
site__doi-org-10-5066-p96mmrfd__ea034,site__mrdata-usgs-gov-mrds__10185577
site__mrdata-usgs-gov-mrds__10185577,site__doi-org-10-5066-p96mmrfd__ea034
site__mrdata-usgs-gov-mrds__10185577,site__mrdata-usgs-gov-mrds__10185577
site__mrdata-usgs-gov-mrds__10006210,site__mrdata-usgs-gov-mrds__10006210
site__mrdata-usgs-gov-mrds__10049691,site__mrdata-usgs-gov-mrds__10049691
site__mrdata-usgs-gov-mrds__10049691,site__mrdata-usgs-gov-mrds__10133120
site__mrdata-usgs-gov-mrds__10133120,site__mrdata-usgs-gov-mrds__10049691
site__mrdata-usgs-gov-mrds__10133120,site__mrdata-usgs-gov-mrds__10133120
site__doi-org-10-4095-295581__150,site__doi-org-10-4095-295581__150
site__doi-org-10-4095-295581__150,site__mrdata-usgs-gov-major-deposits__895
site__mrdata-usgs-gov-major-deposits__895,site__doi-org-10-4095-295581__150
site__mrdata-usgs-gov-major-deposits__895,site__mrdata-usgs-gov-major-deposits__895
site__mrdata-usgs-gov-mrds__10065837,site__mrdata-usgs-gov-mrds__10065837
site__mrdata-usgs-gov-mrds__10134258,site__mrdata-usgs-gov-mrds__10134258
site__doi-org-10-5066-p96mmrfd__bn098,site__doi-org-10-5066-p96mmrfd__bn098
site__doi-org-10-5066-p96mmrfd__bn098,site__mrdata-usgs-gov-mrds__10001930
site__mrdata-usgs-gov-mrds__10001930,site__doi-org-10-5066-p96mmrfd__bn098
site__mrdata-usgs-gov-mrds__10001930,site__mrdata-usgs-gov-mrds__10001930
site__doi-org-10-5066-p96mmrfd__ea101,site__doi-org-10-5066-p96mmrfd__ea101
site__mrdata-usgs-gov-mrds__10055499,site__mrdata-usgs-gov-mrds__10055499
site__mrdata-usgs-gov-mrds__10055499,site__mrdata-usgs-gov-mrds__10153264
site__mrdata-usgs-gov-mrds__10153264,site__mrdata-usgs-gov-mrds__10055499
site__mrdata-usgs-gov-mrds__10153264,site__mrdata-usgs-gov-mrds__10153264
site__mrdata-usgs-gov-mrds__10182250,site__mrdata-usgs-gov-mrds__10182250
site__mrdata-usgs-gov-mrds__10257389,site__mrdata-usgs-gov-mrds__10257389
site__mrdata-usgs-gov-mrds__10257389,site__mrdata-usgs-gov-mrds__10160384
site__mrdata-usgs-gov-mrds__10160384,site__mrdata-usgs-gov-mrds__10257389
site__mrdata-usgs-gov-mrds__10160384,site__mrdata-usgs-gov-mrds__10160384
site__mrdata-usgs-gov-deposit__sd00046,site__mrdata-usgs-gov-deposit__sd00046
site__mrdata-usgs-gov-mrds__10027570,site__mrdata-usgs-gov-mrds__10027570
site__mrdata-usgs-gov-mrds__10006253,site__mrdata-usgs-gov-mrds__10006253
site__mrdata-usgs-gov-mrds__10257409,site__mrdata-usgs-gov-mrds__10257409
site__mrdata-usgs-gov-mrds__10308725,site__mrdata-usgs-gov-mrds__10308725
site__mrdata-usgs-gov-mrds__10080346,site__mrdata-usgs-gov-mrds__10080346
site__mrdata-usgs-gov-mrds__10080346,site__mrdata-usgs-gov-mrds__10303878
site__mrdata-usgs-gov-mrds__10303878,site__mrdata-usgs-gov-mrds__10080346
site__mrdata-usgs-gov-mrds__10303878,site__mrdata-usgs-gov-mrds__10303878
site__mrdata-usgs-gov-mrds__10153321,site__mrdata-usgs-gov-mrds__10153321
site__mrdata-usgs-gov-mrds__10153321,site__mrdata-usgs-gov-mrds__10104199
site__mrdata-usgs-gov-mrds__10104199,site__mrdata-usgs-gov-mrds__10153321
