ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sk057,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__sk057
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__604,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__604
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__628,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__628
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10197594,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10197594
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10006118,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10006118
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__238,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__238
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__163,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__163
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__93,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__93
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10205636,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10205636
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh153,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__mh153
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sir20105090z__11200,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sir20105090z__11200
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mt00029,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mt00029
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__563,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__563
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__little-deer-whalesback-526,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__little-deer-whalesback-526
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__783,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__783
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10221820,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10221820
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__moa-bay-camarioca-norte-sur,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__moa-bay-camarioca-norte-sur
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10400565,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10400565
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10258629,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10258629
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__134,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__134
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__722,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__722
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10202491,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10202491
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__an144,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__an144
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10209799,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10209799
