ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2557,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2557
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ea175,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ea175
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063968,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063968
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02dbfc8c40544deca38d82c32d93c4e2f6c6ed0a353fd6d00aa076e12773156d9b,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02dbfc8c40544deca38d82c32d93c4e2f6c6ed0a353fd6d00aa076e12773156d9b
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2558,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2558
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10151188,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10151188
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10194481,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10194481
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10023797,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10023797
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10087858,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10087858
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10080596,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10080596
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10065419,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10065419
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10267081,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10267081
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000731,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000731
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10159333,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10159333
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10005292,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10005292
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10078602,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10078602
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10175595,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10078602
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055364,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055364
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-pp1802__1851,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-pp1802__1851
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-potash__983,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-potash__983
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-potash__157,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-potash__157
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10106744,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10106744
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10106019,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10106019
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10014821,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10014821
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097814,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097814
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230880,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230880
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000725,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230880
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000726,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10230880
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__103,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__103
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055707,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055707
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10142648,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10142648
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206073,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206073
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-pp1802__1221,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-pp1802__1221
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158209,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158209
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10143448,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10143448
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10078581,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10078581
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10159242,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10159242
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10101556,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10101556
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10104235,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10104235
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10078613,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10078613
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10021606,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10021606
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055076,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10021606
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10239376,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10239376
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10142697,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10239376
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__tx00001,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__tx00001
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10194563,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10194563
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10306858,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10306858
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ar00005,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ar00005
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013857,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013857
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10078586,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10078586
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064490,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064490
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10234409,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10064490
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00003,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00003
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00005,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ca00003
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10047125,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10047125
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-potash__60,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-potash__60
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000730,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000730
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-pp1802__1176,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-pp1802__1176
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10092985,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10092985
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0230af08ab6bdcfe4cd59c3c2f666313078c8350965f0ce857c72f2f191c7b937d,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0230af08ab6bdcfe4cd59c3c2f666313078c8350965f0ce857c72f2f191c7b937d
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063768,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10063768
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182584,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10182584
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055768,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055768
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10199374,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10199374
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055733,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055733
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10107743,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10107743
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10180713,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10180713
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10183488,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10183488
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10222289,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10222289
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10261111,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10261111
