ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02af35442ca3dcf49e748dcac1d897c3f445943acb95488af467b0b51e01de3117,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0228aeb0b71119f52b1ad30af41d5ae7c2b1accd17902b7bf4192349a20563593e,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__021b001961514a258c99e04f9d696edd68a551bb191037ac176e88ee3e47860dbe
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02a0c7412e655ff0a9a4eb63cd1388ecb4aee96931f8bc4f98819e65cc83173755,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__029f4e4c7478615407af6f8b1836110483503cfc19b39050f561dd143cc9c55c68,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02d6aeb8f78cf9ef7fdfbeba29f74d13ddd58b804330b6e125ed865123dde10795
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ju254,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__ju254
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nm00030,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nm00030
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-carbonatite__32,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-carbonatite__32
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__1769,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__1769
