ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__145,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__145
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__155,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-phosphate__145
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__1386,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__1386
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__co00019,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__co00019
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2605,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2605
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-carbonatite__43,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-carbonatite__43
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-carbonatite__44,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-carbonatite__44
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tn141,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__tn141
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__637,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__637
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__23,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__637
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00009,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__ak00009
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-carbonatite__41,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-carbonatite__41
https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt024,https://minmod.isi.edu/resource/site__doi-org-10-5066-p96mmrfd__bt024
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2585,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2585
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2271,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2271
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0230a54c6daf27b3418e2086a776e846c705735b759434a8d03abc33b4f1f36428,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__0230a54c6daf27b3418e2086a776e846c705735b759434a8d03abc33b4f1f36428
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__co00032,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__co00032
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__118,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-ree__118
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nm00030,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__nm00030
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2655,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__2655
