ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10078687,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10078687
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10282151,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10282151
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10137376,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10137376
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10193028,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10193028
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10111912,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10111912
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096322,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10096322
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10282562,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10282562
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000268,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000268
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10071827,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10071827
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10169287,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10071827
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079633,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079633
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079630,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079633
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10021503,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10021503
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10068132,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10068132
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__araxa-113,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10068132
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__coors-and-crown-9,https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__coors-and-crown-9
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10119556,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10119556
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10136625,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10136625
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10137217,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10137217
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10041675,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10041675
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10277485,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10041675
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10014070,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10014070
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10173363,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10173363
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10231998,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10231998
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207861,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10231998
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10071124,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10071124
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079770,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10079770
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10164185,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10164185
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10266060,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10266060
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10144668,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10266060
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10168283,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10168283
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009746,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10009746
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10014280,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10014280
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10256279,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10256279
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10021510,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10256279
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024956,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10256279
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158653,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158653
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134804,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10134804
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207031,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10207031
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10255522,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10255522
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10012580,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10012580
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__canakli-2-243,https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__canakli-2-243
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__canakli-1-242,https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__canakli-2-243
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10303827,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10303827
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10072040,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10072040
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10294856,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10294856
https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__kvanefjeld-155,https://minmod.isi.edu/resource/site__doi-org-10-2113-econgeo-110-8-1925__kvanefjeld-155
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10270357,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10270357
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10151741,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10151741
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10014407,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10014407
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10094805,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10094805
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10239660,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10239660
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10241258,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10241258
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10143893,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10143893
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308810,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10308810
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10060462,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10060462
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10155936,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10155936
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10266630,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10266630
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10071264,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10071264
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10012579,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10012579
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10213459,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10213459
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10008958,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10008958
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013643,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10013643
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010828,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10010828
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10144314,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10144314
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10022761,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10022761
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10144754,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10022761
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10021508,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10021508
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10290599,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10290599
